Georgenia_Cluster_1	Georgenia_sp_Georgenia_soli_Georgenia_muralis_Georgenia_ferrireducens_Georgenia_daeguensis_Georgenia_ruanii
Micromonospora_Cluster_4	Micromonospora_zeae_Micromonospora_zamorensis_Micromonospora_yulongensis_Micromonospora_violae_Micromonospora_saelicesensis_Micromonospora_matsumotoense_Micromonospora_maoerensis_Micromonospora_lycii_Micromonospora_lacustris
Endozoicomonas_Cluster_1	Endozoicomonas_elysicola_Endozoicomonas_atrinae_Endozoicomonas_numazuensis_Endozoicomonas_montiporae_Endozoicomonas_arenosclerae
Pyrococcus_Cluster_1	Pyrococcus_yayanosii_Pyrococcus_woesei_Pyrococcus_sp_Pyrococcus_horikoshii_Pyrococcus_glycovorans_Pyrococcus_abyssi_Pyrococcus_furiosus
Staphylococcus_Cluster_3	Staphylococcus_simulans_Staphylococcus_piscifermentans_Staphylococcus_condimenti_Staphylococcus_carnosus
Desulfotomaculum_Cluster_1	Desulfotomaculum_thermosubterraneum_Desulfotomaculum_sp_Desulfotomaculum_nigrificans_Desulfotomaculum_aeronauticum_Desulfotomaculum_luciae_Desulfotomaculum_kuznetsovii_Desulfotomaculum_solfataricum
Brachyspira_Cluster_1	Brachyspira_sp_Brachyspira_hampsonii_Brachyspira_pulli_Brachyspira_pilosicoli_Brachyspira_corvi_Brachyspira_innocens_Brachyspira_canis_Brachyspira_intermedia_Brachyspira_murdochii
Mycobacterium_Cluster_9	Mycobacterium_rufum_Mycobacterium_pulveris_Mycobacterium_poriferae_Mycobacterium_pallens_Mycobacterium_chlorophenolicum_Mycobacterium_brisbanense_Mycobacterium_crocinum
Methylobacterium_Cluster_2	Methylobacterium_tardum_Methylobacterium_fujisawaense_Methylobacterium_phyllostachyos_Methylobacterium_gregans_Methylobacterium_brachiatum_Methylobacterium_longum
Actinoalloteichus_Cluster_1	Actinoalloteichus_sp_Actinoalloteichus_cyanogriseus_Actinoalloteichus_hoggarensis_Actinoalloteichus_hymeniacidonis
Corynebacterium_Cluster_1	Corynebacterium_ureicelerivorans_Corynebacterium_mucifaciens_Corynebacterium_ihumii_Corynebacterium_coyleae
